drug,n_sigs,n_strong_de,category,best_tissue,best_fold,best_p,drug_lineages
AM-580,294,14,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
trifluoperazine,522,394,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
emetine,310,36,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
YM-155,348,949,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
ABT-751,260,1,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
RITA,287,21,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
AG-14361,289,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
DL-PDMP,277,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
parbendazole,299,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
PJ-34,277,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
BRD-K61033289,241,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
AZD-8055,284,39,C,,,,bone|large_intestine|soft_tissue|breast|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
idarubicin,257,7,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
mitoxantrone,1516,723,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
TW-37,268,1,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
erlotinib,888,12,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
gefitinib,860,8,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
masitinib,642,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
dasatinib,1098,44,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
barasertib-HQPA,560,2,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
serdemetan,318,6,C,,,,bone|large_intestine|soft_tissue|breast|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
AZ-628,611,18,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
imatinib,658,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
thalidomide,334,0,C,,,,bone|large_intestine|soft_tissue|breast|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
crizotinib,787,22,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
