gene_id,male_mean,female_mean,difference,p_value,p_adj,gene_symbol,gene_title,gene_type
6924,-0.118006095,-0.39706564,0.27905953,4.2136186040581563e-10,4.278870687877179e-09,ELOA,elongin A,protein-coding
6925,0.12828636,-0.025201276,0.15348764,0.00010114787363165614,0.0003371960481695665,TCF4,transcription factor 4,protein-coding
6926,0.2872938,0.29474378,-0.0074499846,0.5729483488379026,0.6554656517444128,TBX3,T-box 3,protein-coding
6927,0.40459707,0.45280367,-0.048206598,0.6713235207378293,0.7415839035534014,HNF1A,HNF1 homeobox A,protein-coding
6928,0.2631014,0.36876208,-0.10566068,0.008635204652999242,0.01774838328812515,HNF1B,HNF1 homeobox B,protein-coding
6929,-0.7368044,-0.6958341,-0.040970325,0.12757461987451266,0.18647615767287076,TCF3,transcription factor 3,protein-coding
6932,0.41809633,0.5651182,-0.14702186,0.00010855592226890325,0.00035975199186318263,TCF7,transcription factor 7,protein-coding
6934,0.7831931,0.62079155,0.16240156,0.0013641777645778898,0.0034342625039240813,TCF7L2,transcription factor 7 like 2,protein-coding
6935,-0.37667504,-0.2513646,-0.12531045,0.010311158675813495,0.020801172337658116,ZEB1,zinc finger E-box binding homeobox 1,protein-coding
6936,-1.5727708,-1.1267713,-0.4459995,3.181634656923816e-10,3.2960665588703196e-09,GCFC2,GC-rich sequence DNA-binding factor 2,protein-coding
6938,-0.38746166,-0.42632726,0.038865596,0.1800098713121131,0.2497599841031869,TCF12,transcription factor 12,protein-coding
6939,0.867868,0.8314808,0.036387205,0.837326979321098,0.8774708433415928,TCF15,transcription factor 15,protein-coding
694,0.32026428,0.431371,-0.11110672,0.07862544706941699,0.12310064915821345,BTG1,BTG anti-proliferation factor 1,protein-coding
6940,0.30086157,0.17526765,0.12559392,0.00047078125153345555,0.0013287067923316025,ZNF354A,zinc finger protein 354A,protein-coding
6942,0.038557027,0.05948263,-0.020925604,0.9040312226936436,0.9292060124534965,TCF20,transcription factor 20,protein-coding
6943,0.7776667,0.847995,-0.070328295,0.5580194165049374,0.6416026269980291,TCF21,transcription factor 21,protein-coding
6944,-0.34905198,-0.4661338,0.11708182,0.011032861288030917,0.022119550164066536,VPS72,vacuolar protein sorting 72 homolog,protein-coding
6945,0.1525802,0.13515256,0.017427638,0.47140838422987474,0.5598769326383329,MLX,MAX dimerization protein MLX,protein-coding
6947,-0.018582953,-0.0927923,0.07420935,0.14253870984540848,0.2045654499387888,TCN1,transcobalamin 1,protein-coding
6948,0.9222537,0.7971006,0.12515312,0.018214096990786043,0.03437590136289197,TCN2,transcobalamin 2,protein-coding
6949,-0.78121823,-0.7677324,-0.013485849,0.4737657295910448,0.562026935565666,TCOF1,treacle ribosome biogenesis factor 1,protein-coding
695,-0.061680958,0.13248476,-0.19416572,0.02779653965082594,0.04984374411860105,BTK,Bruton tyrosine kinase,protein-coding
6950,-0.21019204,-0.34454173,0.13434969,0.006163815691969285,0.01312619107961384,TCP1,t-complex 1,protein-coding
6953,0.19882832,0.3051296,-0.10630126,0.0010838701523263935,0.0027948026015226475,TCP10,t-complex 10,protein-coding
6954,0.7423183,0.6413746,0.100943685,0.0005807627605270373,0.0015967090347407038,TCP11,t-complex 11,protein-coding
696,-0.0010424388,0.05041955,-0.05146199,0.18159881661668797,0.2515449675562393,BTN1A1,butyrophilin subfamily 1 member A1,protein-coding
6988,0.94888324,0.8262214,0.12266183,0.9562623920458331,0.9680409565725924,TCTA,T cell leukemia translocation altered,protein-coding
699,-1.4420615,-1.5100633,0.06800175,0.08988691866385205,0.13830827924213282,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding
6990,0.72330755,1.2034552,-0.48014766,2.9707066763084584e-12,4.677250562647596e-11,DYNLT3,dynein light chain Tctex-type 3,protein-coding
6992,0.57990116,0.34520656,0.2346946,0.0016847945534775107,0.004146565632914903,PPP1R11,protein phosphatase 1 regulatory inhibitor subunit 11,protein-coding
6993,0.65191114,0.33270866,0.31920248,3.522542540786275e-09,2.983477194710135e-08,DYNLT1,dynein light chain Tctex-type 1,protein-coding
6996,-0.49132177,-0.53054,0.039218217,0.07805147235003457,0.12240408995436028,TDG,thymine DNA glycosylase,protein-coding
6999,-0.4480053,-0.12334019,-0.3246651,3.1248050390897076e-10,3.250852027164381e-09,TDO2,"tryptophan 2,3-dioxygenase",protein-coding
70,0.19784284,0.16852668,0.029316157,0.38270821280332434,0.4701571347722354,ACTC1,actin alpha cardiac muscle 1,protein-coding
7001,0.11036158,0.4249907,-0.31462914,4.4781846341177975e-13,8.215336334732769e-12,PRDX2,peroxiredoxin 2,protein-coding
7003,0.2722149,0.2571979,0.015017003,0.37604318701523487,0.46330805611871034,TEAD1,TEA domain transcription factor 1,protein-coding
7004,-1.4242064,-1.2819633,-0.14224303,0.03818165774486571,0.06568566517983597,TEAD4,TEA domain transcription factor 4,protein-coding
7005,0.7671982,0.6252181,0.14198011,0.007855984127078558,0.016312712197848148,TEAD3,TEA domain transcription factor 3,protein-coding
