sig_id,cell_iname,donor_sex,pert_idose,pert_itime
LJP009_A549_24H:A03,A549,M,10 uM,24 h
LJP008_MCF10A_24H:G11,MCF10A,F,0.12 uM,24 h
LJP008_MDAMB231_24H:G12,MDAMB231,F,0.04 uM,24 h
LJP008_PC3_24H:G10,PC3,M,0.37 uM,24 h
LJP009_A375_24H:A03,A375,F,10 uM,24 h
LJP007_SHSY5Y_24H:A03,SHSY5Y,F,10 uM,24 h
LJP009_YAPC_24H:A03,YAPC,M,10 uM,24 h
LJP008_SHSY5Y_24H:G07,SHSY5Y,F,10 uM,24 h
LJP008_JURKAT_24H:G07,JURKAT,M,10 uM,24 h
LJP008_HT29_24H:G11,HT29,F,0.12 uM,24 h
LJP008_MCF10A_24H:G07,MCF10A,F,10 uM,24 h
LJP008_A375_24H:G12,A375,F,0.04 uM,24 h
LJP008_HELA_24H:A03,HELA,F,10 uM,24 h
LJP008_A549_24H:G11,A549,M,0.12 uM,24 h
LJP008_THP1_24H:G11,THP1,M,0.12 uM,24 h
LJP008_HEK293_24H:G08,HEK293,F,3.33 uM,24 h
LJP008_A549_24H:G07,A549,M,10 uM,24 h
LJP008_HEK293_24H:A03,HEK293,F,10 uM,24 h
LJP008_MCF7_24H:G09,MCF7,F,1.11 uM,24 h
LJP007_HELA_24H:A03,HELA,F,10 uM,24 h
LJP009_SHSY5Y_24H:A03,SHSY5Y,F,10 uM,24 h
LJP008_HCC515_24H:G11,HCC515,F,0.12 uM,24 h
LJP008_HCC515_24H:G10,HCC515,F,0.37 uM,24 h
LJP008_JURKAT_24H:G09,JURKAT,M,1.11 uM,24 h
MUC.CP006_MCF7_6H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,6 h
MUC.CP003_MCF7_24H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,24 h
MUC.CP004_MCF7_6H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,6 h
MUC.CP001_MCF7_6H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,6 h
MUC.CP005_MCF7_6H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,6 h
MUC.CP002_MCF7_6H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,6 h
MUC.CP003_MCF7_6H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,6 h
MUC.CP003_MCF7_6H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,6 h
MUC.CP005_MCF7_6H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,6 h
MUC.CP002_MCF7_24H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,24 h
MUC.CP005_MCF7_6H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,6 h
MUC.CP005_MCF7_24H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,24 h
MUC.CP006_MCF7_24H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,24 h
MUC.CP005_MCF7_6H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,6 h
MUC.CP001_MCF7_24H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,24 h
MUC.CP001_MCF7_24H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,24 h
MUC.CP003_MCF7_24H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,24 h
MUC.CP003_MCF7_24H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,24 h
MUC.CP004_MCF7_24H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,24 h
MUC.CP003_MCF7_24H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,24 h
MUC.CP001_MCF7_6H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,6 h
MUC.CP001_MCF7_6H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,6 h
MUC.CP001_MCF7_24H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,24 h
MUC.CP003_MCF7_6H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,6 h
MUC.CP005_MCF7_24H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,24 h
MUC.CP004_MCF7_6H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,6 h
MUC.CP001_MCF7_24H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,24 h
MUC.CP006_MCF7_6H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,6 h
MUC.CP001_MCF7_6H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,6 h
MUC.CP002_MCF7_6H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,6 h
MUC.CP004_MCF7_24H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,24 h
MUC.CP004_MCF7_6H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,6 h
MUC.CP004_MCF7_24H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,24 h
MUC.CP004_MCF7_24H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,24 h
MUC.CP005_MCF7_24H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,24 h
MUC.CP002_MCF7_6H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,6 h
MUC.CP002_MCF7_6H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,6 h
MUC.CP002_MCF7_24H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,24 h
MUC.CP006_MCF7_24H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,24 h
MUC.CP003_MCF7_6H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,6 h
MUC.CP002_MCF7_6H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,6 h
MUC.CP005_MCF7_6H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,6 h
MUC.CP002_MCF7_24H:BRD-K81418486-001-13-7:3.3333,MCF7,F,3.33 uM,24 h
MUC.CP004_MCF7_6H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,6 h
MUC.CP003_MCF7_6H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,6 h
MUC.CP005_MCF7_24H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,24 h
MUC.CP005_MCF7_24H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,24 h
MUC.CP006_MCF7_24H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,24 h
MUC.CP002_MCF7_24H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,24 h
MUC.CP001_MCF7_24H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,24 h
MUC.CP003_MCF7_24H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,24 h
MUC.CP006_MCF7_24H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,24 h
MUC.CP004_MCF7_6H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,6 h
MUC.CP006_MCF7_24H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,24 h
MUC.CP004_MCF7_24H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,24 h
MUC.CP006_MCF7_6H:BRD-K81418486-001-13-7:1.1111,MCF7,F,1.11 uM,6 h
MUC.CP001_MCF7_6H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,6 h
MUC.CP006_MCF7_6H:BRD-K81418486-001-22-8:10,MCF7,F,10 uM,6 h
MUC.CP006_MCF7_6H:BRD-K81418486-001-13-7:10,MCF7,F,10 uM,6 h
MUC.CP002_MCF7_24H:BRD-K81418486-001-13-7:0.3704,MCF7,F,0.37 uM,24 h
PAC043_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC065_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC069_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC026_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC033_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC002_U2OS_6H:BRD-K81418486-001-15-2:20,U2OS,F,20 uM,6 h
PAC049_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC060_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC032_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC068_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC021_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC003_U2OS_6H:BRD-K81418486-001-15-2:20,U2OS,F,20 uM,6 h
PAC012_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC035_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC029_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC063_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC058_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC051_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC067_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC056_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC044_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC005_U2OS_6H:BRD-K81418486-001-15-2:20,U2OS,F,20 uM,6 h
PAC017_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC064_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC055_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC066_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC004_U2OS_6H:BRD-K81418486-001-15-2:20,U2OS,F,20 uM,6 h
PAC011_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC010_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC046_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC057_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC039_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC016_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC006_U2OS_6H:BRD-K81418486-001-15-2:20,U2OS,F,20 uM,6 h
PAC040_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC061_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC030_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC047_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC053_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC045_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC008_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC028_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC025_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC054_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC031_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC059_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC037_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC023_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC038_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC036_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC050_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC022_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC007_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC041_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC018_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC027_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC015_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC019_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC052_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC013_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC042_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC048_U2OS_6H:BRD-K81418486-001-18-6:20,U2OS,F,20 uM,6 h
PAC001_U2OS_6H:BRD-K81418486-001-15-2:20,U2OS,F,20 uM,6 h
MOAR019_A375_24H:A03,A375,F,3.33 uM,24 h
MOAR019_A375_24H:A15,A375,F,3.33 uM,24 h
MOAR019_A375_24H:A21,A375,F,0.66 uM,24 h
MOAR019_A375_24H:A09,A375,F,0.66 uM,24 h
PCLB002_MCF7_24H:BRD-K81418486:0.04,MCF7,F,0.04 uM,24 h
PCLB002_A549_24H:BRD-K81418486:0.37,A549,M,0.37 uM,24 h
PCLB002_HEPG2_24H:BRD-K81418486:1.11,HEPG2,M,1.11 uM,24 h
PCLB002_HCC515_24H:BRD-K81418486:0.37,HCC515,F,0.37 uM,24 h
PCLB002_HT29_24H:BRD-K81418486:1.11,HT29,F,1.11 uM,24 h
PCLB002_PC3_24H:BRD-K81418486:0.12,PC3,M,0.12 uM,24 h
PCLB002_HCC515_24H:BRD-K81418486:0.12,HCC515,F,0.12 uM,24 h
PCLB002_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
PCLB002_HT29_24H:BRD-K81418486:0.04,HT29,F,0.04 uM,24 h
PCLB002_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
PCLB002_MCF7_24H:BRD-K81418486:1.11,MCF7,F,1.11 uM,24 h
PCLB002_HT29_24H:BRD-K81418486:0.12,HT29,F,0.12 uM,24 h
PCLB002_A375_24H:BRD-K81418486:0.37,A375,F,0.37 uM,24 h
PCLB002_A549_24H:BRD-K81418486:0.12,A549,M,0.12 uM,24 h
PCLB002_MCF7_24H:BRD-K81418486:0.37,MCF7,F,0.37 uM,24 h
PCLB002_HCC515_24H:BRD-K81418486:1.11,HCC515,F,1.11 uM,24 h
PCLB002_PC3_24H:BRD-K81418486:0.04,PC3,M,0.04 uM,24 h
PCLB002_HEPG2_24H:BRD-K81418486:0.12,HEPG2,M,0.12 uM,24 h
PCLB002_MCF7_24H:BRD-K81418486:3.33,MCF7,F,3.33 uM,24 h
PCLB002_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
PCLB002_HEPG2_24H:BRD-K81418486:0.37,HEPG2,M,0.37 uM,24 h
PCLB002_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
PCLB002_A549_24H:BRD-K81418486:1.11,A549,M,1.11 uM,24 h
PCLB002_HT29_24H:BRD-K81418486:3.33,HT29,F,3.33 uM,24 h
PCLB002_HEPG2_24H:BRD-K81418486:3.33,HEPG2,M,3.33 uM,24 h
PCLB002_HT29_24H:BRD-K81418486:0.37,HT29,F,0.37 uM,24 h
PCLB002_MCF7_24H:BRD-K81418486:0.12,MCF7,F,0.12 uM,24 h
PCLB002_HCC515_24H:BRD-K81418486:0.04,HCC515,F,0.04 uM,24 h
PCLB002_A375_24H:BRD-K81418486:0.04,A375,F,0.04 uM,24 h
PCLB002_A375_24H:BRD-K81418486:3.33,A375,F,3.33 uM,24 h
PCLB002_HCC515_24H:BRD-K81418486:3.33,HCC515,F,3.33 uM,24 h
PCLB002_A375_24H:BRD-K81418486:0.12,A375,F,0.12 uM,24 h
PCLB002_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
PCLB002_HEPG2_24H:BRD-K81418486:0.04,HEPG2,M,0.04 uM,24 h
PCLB002_PC3_24H:BRD-K81418486:1.11,PC3,M,1.11 uM,24 h
PCLB002_A549_24H:BRD-K81418486:3.33,A549,M,3.33 uM,24 h
PCLB002_PC3_24H:BRD-K81418486:3.33,PC3,M,3.33 uM,24 h
PCLB002_A375_24H:BRD-K81418486:1.11,A375,F,1.11 uM,24 h
PCLB002_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
PCLB002_A549_24H:BRD-K81418486:0.04,A549,M,0.04 uM,24 h
PCLB002_PC3_24H:BRD-K81418486:0.37,PC3,M,0.37 uM,24 h
PCLB002_HCC515_24H:BRD-K81418486:10,HCC515,F,10 uM,24 h
AICHI001_OCILY10_4H:G13,OCILY10,F,10 uM,4 h
AICHI002_OCILY3_4H:G13,OCILY3,M,10 uM,4 h
AICHI001_K562_4H:G18,K562,F,0.01 uM,4 h
AICHI002_THP1_24H:G16,THP1,M,0.125 uM,24 h
AICHI002_MINO_24H:G14,MINO,M,2.5 uM,24 h
AICHI001_BJAB_24H:G14,BJAB,F,2.5 uM,24 h
AICHI001_OCILY19_4H:G15,OCILY19,F,0.66 uM,4 h
AICHI002_THP1_4H:G17,THP1,M,0.04 uM,4 h
AICHI002_MINO_24H:G18,MINO,M,0.01 uM,24 h
AICHI001_KMS34_24H:G14,KMS34,F,2.5 uM,24 h
AICHI002_OCILY3_24H:G13,OCILY3,M,10 uM,24 h
AICHI001_THP1_4H:G18,THP1,M,0.01 uM,4 h
AICHI002_K562_4H:G13,K562,F,10 uM,4 h
AICHI002_BJAB_24H:G13,BJAB,F,10 uM,24 h
AICHI002_BJAB_24H:G14,BJAB,F,2.5 uM,24 h
AICHI001_OCILY19_24H:G16,OCILY19,F,0.125 uM,24 h
AICHI002_BJAB_4H:G14,BJAB,F,2.5 uM,4 h
AICHI002_SKMEL5_24H:G15,SKMEL5,F,0.66 uM,24 h
AICHI002_OCILY10_4H:G17,OCILY10,F,0.04 uM,4 h
AICHI001_OCILY19_4H:G14,OCILY19,F,2.5 uM,4 h
AICHI001_OCILY19_4H:G16,OCILY19,F,0.125 uM,4 h
AICHI002_OCILY10_24H:G13,OCILY10,F,10 uM,24 h
AICHI001_K562_4H:G16,K562,F,0.125 uM,4 h
AICHI001_THP1_24H:G18,THP1,M,0.01 uM,24 h
AICHI001_NALM6_24H:G18,NALM6,M,0.01 uM,24 h
AICHI002_NALM6_24H:G13,NALM6,M,10 uM,24 h
AICHI002_THP1_24H:G17,THP1,M,0.04 uM,24 h
AICHI002_MINO_24H:G16,MINO,M,0.125 uM,24 h
AICHI001_OCILY3_4H:G13,OCILY3,M,10 uM,4 h
AICHI002_THP1_4H:G18,THP1,M,0.01 uM,4 h
AICHI002_K562_24H:G15,K562,F,0.66 uM,24 h
AICHI002_MINO_24H:G13,MINO,M,10 uM,24 h
AICHI001_OCILY19_24H:G17,OCILY19,F,0.04 uM,24 h
AICHI001_MINO_24H:G14,MINO,M,2.5 uM,24 h
AICHI001_OCILY3_24H:G14,OCILY3,M,2.5 uM,24 h
AICHI002_OCILY19_4H:G15,OCILY19,F,0.66 uM,4 h
AICHI002_TMD8_4H:G13,TMD8,M,10 uM,4 h
AICHI001_K562_24H:G13,K562,F,10 uM,24 h
AICHI002_OCILY3_4H:G15,OCILY3,M,0.66 uM,4 h
AICHI001_OCILY10_24H:G16,OCILY10,F,0.125 uM,24 h
AICHI002_KMS34_24H:G17,KMS34,F,0.04 uM,24 h
AICHI002_K562_4H:G15,K562,F,0.66 uM,4 h
AICHI002_OCILY19_24H:G16,OCILY19,F,0.125 uM,24 h
AICHI001_TMD8_4H:G16,TMD8,M,0.125 uM,4 h
AICHI001_OCILY19_4H:G13,OCILY19,F,10 uM,4 h
AICHI002_OCILY3_24H:G14,OCILY3,M,2.5 uM,24 h
AICHI001_BJAB_4H:G17,BJAB,F,0.04 uM,4 h
AICHI001_THP1_4H:G15,THP1,M,0.66 uM,4 h
AICHI001_BJAB_24H:G18,BJAB,F,0.01 uM,24 h
AICHI002_TMD8_4H:G18,TMD8,M,0.01 uM,4 h
AICHI002_TMD8_24H:G13,TMD8,M,10 uM,24 h
AICHI002_THP1_4H:G16,THP1,M,0.16 uM,4 h
AICHI001_TMD8_4H:G17,TMD8,M,0.04 uM,4 h
AICHI002_OCILY10_4H:G15,OCILY10,F,0.63 uM,4 h
AICHI001_TMD8_24H:G16,TMD8,M,0.125 uM,24 h
AICHI002_OCILY19_4H:G18,OCILY19,F,0.01 uM,4 h
AICHI001_OCILY10_4H:G17,OCILY10,F,0.04 uM,4 h
AICHI002_OCILY10_4H:G16,OCILY10,F,0.16 uM,4 h
AICHI002_OCILY19_24H:G17,OCILY19,F,0.04 uM,24 h
AICHI002_BJAB_24H:G15,BJAB,F,0.66 uM,24 h
AICHI002_K562_4H:G14,K562,F,2.5 uM,4 h
AICHI002_OCILY3_24H:G16,OCILY3,M,0.125 uM,24 h
AICHI002_KMS34_24H:G18,KMS34,F,0.01 uM,24 h
AICHI002_OCILY10_24H:G17,OCILY10,F,0.04 uM,24 h
AICHI001_BJAB_4H:G16,BJAB,F,0.125 uM,4 h
AICHI001_KMS34_24H:G13,KMS34,F,10 uM,24 h
AICHI002_BJAB_4H:G16,BJAB,F,0.16 uM,4 h
AICHI002_THP1_24H:G18,THP1,M,0.01 uM,24 h
AICHI001_NALM6_24H:G17,NALM6,M,0.04 uM,24 h
AICHI002_OCILY3_4H:G18,OCILY3,M,0.01 uM,4 h
AICHI001_OCILY10_24H:G17,OCILY10,F,0.04 uM,24 h
AICHI001_BJAB_24H:G16,BJAB,F,0.16 uM,24 h
AICHI001_K562_24H:G15,K562,F,0.66 uM,24 h
AICHI001_K562_24H:G17,K562,F,0.04 uM,24 h
AICHI001_THP1_24H:G14,THP1,M,2.5 uM,24 h
AICHI001_OCILY19_24H:G14,OCILY19,F,2.5 uM,24 h
AICHI002_MINO_24H:G15,MINO,M,0.66 uM,24 h
AICHI001_MINO_24H:G16,MINO,M,0.16 uM,24 h
AICHI002_OCILY10_4H:G14,OCILY10,F,2.5 uM,4 h
AICHI001_SKMEL5_24H:G15,SKMEL5,F,0.66 uM,24 h
AICHI002_OCILY3_4H:G16,OCILY3,M,0.125 uM,4 h
AICHI001_K562_4H:G17,K562,F,0.04 uM,4 h
AICHI002_K562_4H:G18,K562,F,0.01 uM,4 h
AICHI002_TMD8_24H:G14,TMD8,M,2.5 uM,24 h
AICHI002_OCILY19_4H:G13,OCILY19,F,10 uM,4 h
AICHI001_OCILY3_24H:G13,OCILY3,M,10 uM,24 h
AICHI002_TMD8_4H:G17,TMD8,M,0.04 uM,4 h
AICHI002_OCILY19_24H:G14,OCILY19,F,2.5 uM,24 h
AICHI001_KMS34_24H:G17,KMS34,F,0.04 uM,24 h
AICHI002_BJAB_24H:G16,BJAB,F,0.125 uM,24 h
AICHI001_THP1_24H:G15,THP1,M,0.66 uM,24 h
AICHI001_OCILY3_4H:G18,OCILY3,M,0.01 uM,4 h
AICHI001_MINO_24H:G18,MINO,M,0.01 uM,24 h
AICHI001_TMD8_4H:G14,TMD8,M,2.5 uM,4 h
AICHI002_OCILY19_4H:G16,OCILY19,F,0.125 uM,4 h
AICHI001_OCILY10_4H:G18,OCILY10,F,0.01 uM,4 h
AICHI002_BJAB_4H:G13,BJAB,F,10 uM,4 h
AICHI001_OCILY10_4H:G15,OCILY10,F,0.63 uM,4 h
AICHI001_OCILY3_24H:G18,OCILY3,M,0.01 uM,24 h
AICHI001_THP1_4H:G17,THP1,M,0.04 uM,4 h
AICHI001_SKMEL5_24H:G18,SKMEL5,F,0.01 uM,24 h
AICHI001_OCILY10_4H:G14,OCILY10,F,2.5 uM,4 h
AICHI002_OCILY10_24H:G15,OCILY10,F,0.63 uM,24 h
AICHI001_OCILY19_24H:G15,OCILY19,F,0.66 uM,24 h
AICHI001_KMS34_24H:G16,KMS34,F,0.125 uM,24 h
AICHI002_TMD8_4H:G14,TMD8,M,2.5 uM,4 h
AICHI001_K562_24H:G14,K562,F,2.5 uM,24 h
AICHI001_OCILY3_24H:G16,OCILY3,M,0.125 uM,24 h
AICHI002_BJAB_4H:G18,BJAB,F,0.01 uM,4 h
AICHI001_OCILY19_24H:G18,OCILY19,F,0.01 uM,24 h
AICHI001_SKMEL5_24H:G16,SKMEL5,F,0.125 uM,24 h
AICHI001_OCILY3_4H:G17,OCILY3,M,0.04 uM,4 h
AICHI001_BJAB_4H:G14,BJAB,F,2.5 uM,4 h
AICHI002_TMD8_4H:G15,TMD8,M,0.66 uM,4 h
AICHI002_K562_4H:G17,K562,F,0.04 uM,4 h
AICHI001_NALM6_24H:G16,NALM6,M,0.125 uM,24 h
AICHI002_TMD8_24H:G16,TMD8,M,0.125 uM,24 h
AICHI001_TMD8_4H:G13,TMD8,M,10 uM,4 h
AICHI002_OCILY10_24H:G14,OCILY10,F,2.5 uM,24 h
AICHI001_SKMEL5_24H:G17,SKMEL5,F,0.04 uM,24 h
AICHI001_MINO_24H:G15,MINO,M,0.63 uM,24 h
AICHI001_BJAB_4H:G18,BJAB,F,0.01 uM,4 h
AICHI001_OCILY19_24H:G13,OCILY19,F,10 uM,24 h
AICHI002_OCILY10_24H:G18,OCILY10,F,0.01 uM,24 h
AICHI001_OCILY19_4H:G18,OCILY19,F,0.01 uM,4 h
AICHI001_OCILY3_4H:G14,OCILY3,M,2.5 uM,4 h
AICHI002_KMS34_24H:G14,KMS34,F,2.5 uM,24 h
AICHI002_NALM6_24H:G15,NALM6,M,0.66 uM,24 h
AICHI002_BJAB_24H:G17,BJAB,F,0.04 uM,24 h
AICHI002_TMD8_4H:G16,TMD8,M,0.125 uM,4 h
AICHI001_OCILY3_4H:G15,OCILY3,M,0.66 uM,4 h
AICHI002_MINO_24H:G17,MINO,M,0.04 uM,24 h
AICHI001_TMD8_4H:G18,TMD8,M,0.01 uM,4 h
AICHI002_K562_24H:G13,K562,F,10 uM,24 h
AICHI002_OCILY3_4H:G14,OCILY3,M,2.5 uM,4 h
AICHI001_NALM6_24H:G14,NALM6,M,2.5 uM,24 h
AICHI002_OCILY19_24H:G13,OCILY19,F,10 uM,24 h
AICHI001_K562_4H:G15,K562,F,0.66 uM,4 h
AICHI001_THP1_4H:G14,THP1,M,2.5 uM,4 h
AICHI002_SKMEL5_24H:G18,SKMEL5,F,0.01 uM,24 h
AICHI002_TMD8_24H:G18,TMD8,M,0.01 uM,24 h
AICHI002_THP1_24H:G15,THP1,M,0.66 uM,24 h
AICHI001_TMD8_24H:G15,TMD8,M,0.66 uM,24 h
AICHI002_K562_24H:G16,K562,F,0.125 uM,24 h
AICHI001_OCILY10_24H:G13,OCILY10,F,10 uM,24 h
AICHI002_OCILY10_24H:G16,OCILY10,F,0.16 uM,24 h
AICHI001_THP1_24H:G17,THP1,M,0.04 uM,24 h
AICHI001_NALM6_24H:G13,NALM6,M,10 uM,24 h
AICHI002_SKMEL5_24H:G13,SKMEL5,F,10 uM,24 h
AICHI002_OCILY3_24H:G18,OCILY3,M,0.01 uM,24 h
